USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
NEE,D2022118SPI04,40,0,"ABBOTT, ANDREW",L,06/01/99,O2,," $1,480,000 ",1.10,3.90,30,175,,,,671096,KEEP,40," $1,480,000 ",,0.00,0,3.90,32,,,,,,
FA,D2018122NYG05,,1,"ABBOTT, CORY ",R,09/20/95,UFA,," $740,000 ",,,,,,,,676265,,,,,0.00,1,0.00,,,,,,,
CHH,D2018328BAB11,,0,"ABEL, KEVIN ",R,02/19/99,MR5,,,,,,,,,,674265,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BBS,D2021010OSC01,40,0,"ABEL, MICK",R,08/18/01,O,," $740,000 ",,0.10,8,41,,PHN 11,19.71,690953,KEEP,40," $740,000 ",,0.00,0,0.10,,,,,,,
HOG,D2024402HOG14,,0,"ABNER, PHILIP",L,05/05/02,M3,,,,0.10,0,4,,,,691769,KEEP,, $-   ,,0.00,0,0.10,,,,,,,
MUN,D2020004JAS01,40,6,"ABRAMS, CJ",L,10/03/00,O3,," $1,306,960 ",1.90,3.10,,,609,,,682928,KEEP,40," $1,306,960 ",,639.00,6,3.10,,,,,,,
FA,D2015162RFS06,,1,"ABREU, ALBERT",R,09/26/95,UFA,," $740,000 ",,,,,,,,656061,,,,,0.00,1,0.00,,,,,,,
KEC,D2019061LVA03,40,1,"ABREU, BRYAN",R,04/22/97,A4,," $6,063,536 ",0.90,2.20,0,75,,,,650556,KEEP,40," $6,063,536 ",,0.00,1,2.20,,,,,,,
FA,FA2015BHB,,3,"ABREU, JOSE",R,01/29/87,UFA,2020," $740,000 ",-1.50,,,,,,,547989,,,,,0.00,3,0.00,,,,,,,
FA,D2013691LV526,,6,"ABREU, OSVALDO",R,06/13/94,MR5,,,,,,,,,,622435,,,,,0.00,6,0.00,,,,,,,
